Forename,Surname,Name (Display As),Name (List As),Party,Constituency,Address 1,Address 2,Postcode,Email
Alec,Shelbrooke,Sir Alec Shelbrooke,"Shelbrooke, Sir Alec",Conservative,Wetherby and Easingwold,House of Commons,London,SW1A 0AA,alec.shelbrooke.mp@parliament.uk
Tulip,Siddiq,Tulip Siddiq,"Siddiq, Tulip",Labour,Hampstead and Highgate,House of Commons,London,SW1A 0AA,tulip.siddiq.mp@parliament.uk
David,Simmonds,David Simmonds,"Simmonds, David",Conservative,"Ruislip, Northwood and Pinner",House of Commons,London,SW1A 0AA,david.simmonds.mp@parliament.uk
Josh,Simons,Josh Simons,"Simons, Josh",Labour,Makerfield,House of Commons,London,SW1A 0AA,josh.simons.mp@parliament.uk
Vikki,Slade,Vikki Slade,"Slade, Vikki",Liberal Democrat,Mid Dorset and North Poole,House of Commons,London,SW1A 0AA,vikki.slade.mp@parliament.uk
Andy,Slaughter,Andy Slaughter,"Slaughter, Andy",Labour,Hammersmith and Chiswick,House of Commons,London,SW1A 0AA,slaughtera@parliament.uk
John,Slinger,John Slinger,"Slinger, John",Labour,Rugby,House of Commons,London,SW1A 0AA,john.slinger.mp@parliament.uk
Lisa,Smart,Lisa Smart,"Smart, Lisa",Liberal Democrat,Hazel Grove,House of Commons,London,SW1A 0AA,lisa.smart.mp@parliament.uk
Cat,Smith,Cat Smith,"Smith, Cat",Labour,Lancaster and Wyre,House of Commons,London,SW1A 0AA,cat.smith.mp@parliament.uk
David,Smith,David Smith,"Smith, David",Labour,North Northumberland,House of Commons,London,SW1A 0AA,david.smith.mp@parliament.uk
Greg,Smith,Greg Smith,"Smith, Greg",Conservative,Mid Buckinghamshire,House of Commons,London,SW1A 0AA,greg.smith.mp@parliament.uk
Jeff,Smith,Jeff Smith,"Smith, Jeff",Labour,Manchester Withington,House of Commons,London,SW1A 0AA,jeff.smith.mp@parliament.uk
Julian,Smith,Sir Julian Smith,"Smith, Sir Julian",Conservative,Skipton and Ripon,House of Commons,London,SW1A 0AA,julian.smith.mp@parliament.uk
Nick,Smith,Nick Smith,"Smith, Nick",Labour,Blaenau Gwent and Rhymney,House of Commons,London,SW1A 0AA,nick.smith.mp@parliament.uk
Rebecca,Smith,Rebecca Smith,"Smith, Rebecca",Conservative,South West Devon,House of Commons,London,SW1A 0AA,rebecca.smith.mp@parliament.uk
Sarah,Smith,Sarah Smith,"Smith, Sarah",Labour,Hyndburn,House of Commons,London,SW1A 0AA,sarah.smith.mp@parliament.uk
Karin,Smyth,Karin Smyth,"Smyth, Karin",Labour,Bristol South,House of Commons,London,SW1A 0AA,karin.smyth.mp@parliament.uk
Gareth,Snell,Gareth Snell,"Snell, Gareth",Labour (Co-op),Stoke-on-Trent Central,House of Commons,London,SW1A 0AA,gareth.snell.mp@parliament.uk
Andrew,Snowden,Mr Andrew Snowden,"Snowden, Mr Andrew",Conservative,Fylde,House of Commons,London,SW1A 0AA,andrew.snowden.mp@parliament.uk
Alex,Sobel,Alex Sobel,"Sobel, Alex",Labour (Co-op),Leeds Central and Headingley,House of Commons,London,SW1A 0AA,alex.sobel.mp@parliament.uk
Ian,Sollom,Ian Sollom,"Sollom, Ian",Liberal Democrat,St Neots and Mid Cambridgeshire,House of Commons,London,SW1A 0AA,ian.sollom.mp@parliament.uk
Ben,Spencer,Dr Ben Spencer,"Spencer, Dr Ben",Conservative,Runnymede and Weybridge,House of Commons,London,SW1A 0AA,ben.spencer.mp@parliament.uk
Patrick,Spencer,Patrick Spencer,"Spencer, Patrick",Conservative,Central Suffolk and North Ipswich,House of Commons,London,SW1A 0AA,patrick.spencer.mp@parliament.uk
Gregory,Stafford,Gregory Stafford,"Stafford, Gregory",Conservative,Farnham and Bordon,House of Commons,London,SW1A 0AA,greg.stafford.mp@parliament.uk
Euan,Stainbank,Euan Stainbank,"Stainbank, Euan",Labour,Falkirk,House of Commons,London,SW1A 0AA,euan.stainbank.mp@parliament.uk
Keir,Starmer,Sir Keir Starmer,"Starmer, Sir Keir",Labour,Holborn and St Pancras,House of Commons,London,SW1A 0AA,keir.starmer.mp@parliament.uk
Blake,Stephenson,Blake Stephenson,"Stephenson, Blake",Conservative,Mid Bedfordshire,House of Commons,London,SW1A 0AA,blake.stephenson.mp@parliament.uk
Jo,Stevens,Jo Stevens,"Stevens, Jo",Labour,Cardiff East,House of Commons,London,SW1A 0AA,jo.stevens.mp@parliament.uk
Kenneth,Stevenson,Kenneth Stevenson,"Stevenson, Kenneth",Labour,Airdrie and Shotts,House of Commons,London,SW1A 0AA,kenneth.stevenson.mp@parliament.uk
Elaine,Stewart,Elaine Stewart,"Stewart, Elaine",Labour,"Ayr, Carrick and Cumnock",House of Commons,London,SW1A 0AA,elaine.stewart.mp@parliament.uk
Jamie,Stone,Jamie Stone,"Stone, Jamie",Liberal Democrat,"Caithness, Sutherland and Easter Ross",House of Commons,London,SW1A 0AA,jamie.stone.mp@parliament.uk
Will,Stone,Will Stone,"Stone, Will",Labour,Swindon North,House of Commons,London,SW1A 0AA,will.stone.mp@parliament.uk
Alistair,Strathern,Alistair Strathern,"Strathern, Alistair",Labour,Hitchin,House of Commons,London,SW1A 0AA,alistair.strathern.mp@parliament.uk
Wes,Streeting,Wes Streeting,"Streeting, Wes",Labour,Ilford North,House of Commons,London,SW1A 0AA,wes.streeting.mp@parliament.uk
Alan,Strickland,Alan Strickland,"Strickland, Alan",Labour,Newton Aycliffe and Spennymoor,House of Commons,London,SW1A 0AA,alan.strickland.mp@parliament.uk
Mel,Stride,Mel Stride,"Stride, Mel",Conservative,Central Devon,House of Commons,London,SW1A 0AA,mel.stride.mp@parliament.uk
Graham,Stringer,Graham Stringer,"Stringer, Graham",Labour,Blackley and Middleton South,House of Commons,London,SW1A 0AA,graham.stringer.mp@parliament.uk
Graham,Stuart,Graham Stuart,"Stuart, Graham",Conservative,Beverley and Holderness,House of Commons,London,SW1A 0AA,grahamstuartmp@parliament.uk
Kirsteen,Sullivan,Kirsteen Sullivan,"Sullivan, Kirsteen",Labour (Co-op),Bathgate and Linlithgow,House of Commons,London,SW1A 0AA,kirsteen.sullivan.mp@parliament.uk
Lauren,Sullivan,Dr Lauren Sullivan,"Sullivan, Dr Lauren",Labour,Gravesham,House of Commons,London,SW1A 0AA,lauren.sullivan.mp@parliament.uk
Zarah,Sultana,Zarah Sultana,"Sultana, Zarah",Independent,Coventry South,House of Commons,London,SW1A 0AA,zarah.sultana.mp@parliament.uk
Rishi,Sunak,Rishi Sunak,"Sunak, Rishi",Conservative,Richmond and Northallerton,House of Commons,London,SW1A 0AA,rishi.sunak.mp@parliament.uk
Peter,Swallow,Peter Swallow,"Swallow, Peter",Labour,Bracknell,House of Commons,London,SW1A 0AA,peter.swallow.mp@parliament.uk
Robin,Swann,Robin Swann,"Swann, Robin",Ulster Unionist Party,South Antrim,House of Commons,London,SW1A 0AA,robin.swann.mp@parliament.uk
Desmond,Swayne,Sir Desmond Swayne,"Swayne, Sir Desmond",Conservative,New Forest West,House of Commons,London,SW1A 0AA,swayned@parliament.uk
Mark,Tami,Mark Tami,"Tami, Mark",Labour,Alyn and Deeside,House of Commons,London,SW1A 0AA,tamim@parliament.uk
Mike,Tapp,Mike Tapp,"Tapp, Mike",Labour,Dover and Deal,House of Commons,London,SW1A 0AA,mike.tapp.mp@parliament.uk
Alison,Taylor,Alison Taylor,"Taylor, Alison",Labour,Paisley and Renfrewshire North,House of Commons,London,SW1A 0AA,alison.taylor.mp@parliament.uk
David,Taylor,David Taylor,"Taylor, David",Labour,Hemel Hempstead,House of Commons,London,SW1A 0AA,david.taylor.mp@parliament.uk
Luke,Taylor,Luke Taylor,"Taylor, Luke",Liberal Democrat,Sutton and Cheam,House of Commons,London,SW1A 0AA,luke.taylor.mp@parliament.uk
Rachel,Taylor,Rachel Taylor,"Taylor, Rachel",Labour,North Warwickshire and Bedworth,House of Commons,London,SW1A 0AA,rachel.taylor.mp@parliament.uk
Bradley,Thomas,Bradley Thomas,"Thomas, Bradley",Conservative,Bromsgrove,House of Commons,London,SW1A 0AA,bradley.thomas.mp@parliament.uk
Cameron,Thomas,Cameron Thomas,"Thomas, Cameron",Liberal Democrat,Tewkesbury,House of Commons,London,SW1A 0AA,cameron.thomas.mp@parliament.uk
Fred,Thomas,Fred Thomas,"Thomas, Fred",Labour,Plymouth Moor View,House of Commons,London,SW1A 0AA,fred.thomas.mp@parliament.uk
Gareth,Thomas,Gareth Thomas,"Thomas, Gareth",Labour (Co-op),Harrow West,House of Commons,London,SW1A 0AA,gareth.thomas.mp@parliament.uk
Nick,Thomas-Symonds,Nick Thomas-Symonds,"Thomas-Symonds, Nick",Labour,Torfaen,House of Commons,London,SW1A 0AA,nick.thomassymonds.mp@parliament.uk
Adam,Thompson,Adam Thompson,"Thompson, Adam",Labour,Erewash,House of Commons,London,SW1A 0AA,adam.thompson.mp@parliament.uk
Emily,Thornberry,Emily Thornberry,"Thornberry, Emily",Labour,Islington South and Finsbury,House of Commons,London,SW1A 0AA,thornberrye@parliament.uk
Richard,Tice,Richard Tice,"Tice, Richard",Reform UK,Boston and Skegness,House of Commons,London,SW1A 0AA,richard.tice.mp@parliament.uk
Marie,Tidball,Dr Marie Tidball,"Tidball, Dr Marie",Labour,Penistone and Stocksbridge,House of Commons,London,SW1A 0AA,marie.tidball.mp@parliament.uk
Stephen,Timms,Sir Stephen Timms,"Timms, Sir Stephen",Labour,East Ham,House of Commons,London,SW1A 0AA,timmss@parliament.uk
Nick,Timothy,Nick Timothy,"Timothy, Nick",Conservative,West Suffolk,House of Commons,London,SW1A 0AA,nick.timothy.mp@parliament.uk
Jessica,Toale,Jessica Toale,"Toale, Jessica",Labour,Bournemouth West,House of Commons,London,SW1A 0AA,jessica.toale.mp@parliament.uk
Dan,Tomlinson,Dan Tomlinson,"Tomlinson, Dan",Labour,Chipping Barnet,House of Commons,London,SW1A 0AA,dan.tomlinson.mp@parliament.uk
Jon,Trickett,Jon Trickett,"Trickett, Jon",Labour,Normanton and Hemsworth,House of Commons,London,SW1A 0AA,trickettj@parliament.uk
Laura,Trott,Laura Trott,"Trott, Laura",Conservative,Sevenoaks,House of Commons,London,SW1A 0AA,laura.trott.mp@parliament.uk
Henry,Tufnell,Henry Tufnell,"Tufnell, Henry",Labour,Mid and South Pembrokeshire,House of Commons,London,SW1A 0AA,henry.tufnell.mp@parliament.uk
Tom,Tugendhat,Tom Tugendhat,"Tugendhat, Tom",Conservative,Tonbridge,House of Commons,London,SW1A 0AA,tom.tugendhat.mp@parliament.uk
Anna,Turley,Anna Turley,"Turley, Anna",Labour (Co-op),Redcar,House of Commons,London,SW1A 0AA,anna.turley.mp@parliament.uk
Matt,Turmaine,Matt Turmaine,"Turmaine, Matt",Labour,Watford,House of Commons,London,SW1A 0AA,matt.turmaine.mp@parliament.uk
Karl,Turner,Karl Turner,"Turner, Karl",Labour,Kingston upon Hull East,House of Commons,London,SW1A 0AA,karl.turner.mp@parliament.uk
Laurence,Turner,Laurence Turner,"Turner, Laurence",Labour,Birmingham Northfield,House of Commons,London,SW1A 0AA,laurence.turner.mp@parliament.uk
Derek,Twigg,Derek Twigg,"Twigg, Derek",Labour,Widnes and Halewood,House of Commons,London,SW1A 0AA,derek.twigg.mp@parliament.uk
Liz,Twist,Liz Twist,"Twist, Liz",Labour,Blaydon and Consett,House of Commons,London,SW1A 0AA,liz.twist.mp@parliament.uk
Harpreet,Uppal,Harpreet Uppal,"Uppal, Harpreet",Labour,Huddersfield,House of Commons,London,SW1A 0AA,harpreet.uppal.mp@parliament.uk
Freddie,van Mierlo,Freddie van Mierlo,"van Mierlo, Freddie",Liberal Democrat,Henley and Thame,House of Commons,London,SW1A 0AA,freddie.vanmierlo.mp@parliament.uk
Tony,Vaughan,Tony Vaughan,"Vaughan, Tony",Labour,Folkestone and Hythe,House of Commons,London,SW1A 0AA,tony.vaughan.mp@parliament.uk
Valerie,Vaz,Valerie Vaz,"Vaz, Valerie",Labour,Walsall and Bloxwich,House of Commons,London,SW1A 0AA,valerie.vaz.mp@parliament.uk
Martin,Vickers,Martin Vickers,"Vickers, Martin",Conservative,Brigg and Immingham,House of Commons,London,SW1A 0AA,martin.vickers.mp@parliament.uk
Matt,Vickers,Matt Vickers,"Vickers, Matt",Conservative,Stockton West,House of Commons,London,SW1A 0AA,matt.vickers.mp@parliament.uk
Chris,Vince,Chris Vince,"Vince, Chris",Labour (Co-op),Harlow,House of Commons,London,SW1A 0AA,chris.vince.mp@parliament.uk
Caroline,Voaden,Caroline Voaden,"Voaden, Caroline",Liberal Democrat,South Devon,House of Commons,London,SW1A 0AA,caroline.voaden.mp@parliament.uk
Christian,Wakeford,Christian Wakeford,"Wakeford, Christian",Labour,Bury South,House of Commons,London,SW1A 0AA,christian.wakeford.mp@parliament.uk
Imogen,Walker,Imogen Walker,"Walker, Imogen",Labour,Hamilton and Clyde Valley,House of Commons,London,SW1A 0AA,imogen.walker.mp@parliament.uk
Chris,Ward,Chris Ward,"Ward, Chris",Labour,Brighton Kemptown and Peacehaven,House of Commons,London,SW1A 0AA,chris.ward.mp@parliament.uk
Melanie,Ward,Melanie Ward,"Ward, Melanie",Labour,Cowdenbeath and Kirkcaldy,House of Commons,London,SW1A 0AA,melanie.ward.mp@parliament.uk
Paul,Waugh,Paul Waugh,"Waugh, Paul",Labour (Co-op),Rochdale,House of Commons,London,SW1A 0AA,paul.waugh.mp@parliament.uk
Chris,Webb,Chris Webb,"Webb, Chris",Labour,Blackpool South,House of Commons,London,SW1A 0AA,chris.webb.mp@parliament.uk
Michelle,Welsh,Michelle Welsh,"Welsh, Michelle",Labour,Sherwood Forest,House of Commons,London,SW1A 0AA,michelle.welsh.mp@parliament.uk
Catherine,West,Catherine West,"West, Catherine",Labour,Hornsey and Friern Barnet,House of Commons,London,SW1A 0AA,catherine.west.mp@parliament.uk
Andrew,Western,Andrew Western,"Western, Andrew",Labour,Stretford and Urmston,House of Commons,London,SW1A 0AA,andrew.western.mp@parliament.uk
Matt,Western,Matt Western,"Western, Matt",Labour,Warwick and Leamington,House of Commons,London,SW1A 0AA,matt.western.mp@parliament.uk
Helen,Whately,Helen Whately,"Whately, Helen",Conservative,Faversham and Mid Kent,House of Commons,London,SW1A 0AA,helen.whately.mp@parliament.uk
Michael,Wheeler,Michael Wheeler,"Wheeler, Michael",Labour,Worsley and Eccles,House of Commons,London,SW1A 0AA,michael.wheeler.mp@parliament.uk
John,Whitby,John Whitby,"Whitby, John",Labour,Derbyshire Dales,House of Commons,London,SW1A 0AA,john.whitby.mp@parliament.uk
Jo,White,Jo White,"White, Jo",Labour,Bassetlaw,House of Commons,London,SW1A 0AA,jo.white.mp@parliament.uk
Katie,White,Katie White,"White, Katie",Labour,Leeds North West,House of Commons,London,SW1A 0AA,katie.white.mp@parliament.uk
John,Whittingdale,Sir John Whittingdale,"Whittingdale, Sir John",Conservative,Maldon,House of Commons,London,SW1A 0AA,john.whittingdale.mp@parliament.uk
Nadia,Whittome,Nadia Whittome,"Whittome, Nadia",Labour,Nottingham East,House of Commons,London,SW1A 0AA,nadia.whittome.mp@parliament.uk
James,Wild,James Wild,"Wild, James",Conservative,North West Norfolk,House of Commons,London,SW1A 0AA,james.wild.mp@parliament.uk
Max,Wilkinson,Max Wilkinson,"Wilkinson, Max",Liberal Democrat,Cheltenham,House of Commons,London,SW1A 0AA,max.wilkinson.mp@parliament.uk
David,Williams,David Williams,"Williams, David",Labour,Stoke-on-Trent North,House of Commons,London,SW1A 0AA,david.williams.mp@parliament.uk
Gavin,Williamson,Sir Gavin Williamson,"Williamson, Sir Gavin",Conservative,"Stone, Great Wyrley and Penkridge",House of Commons,London,SW1A 0AA,gavin.williamson.mp@parliament.uk
Munira,Wilson,Munira Wilson,"Wilson, Munira",Liberal Democrat,Twickenham,House of Commons,London,SW1A 0AA,munira.wilson.mp@parliament.uk
Sammy,Wilson,Sammy Wilson,"Wilson, Sammy",Democratic Unionist Party,East Antrim,House of Commons,London,SW1A 0AA,barronj@parliament.uk
Pete,Wishart,Pete Wishart,"Wishart, Pete",Scottish National Party,Perth and Kinross-shire,House of Commons,London,SW1A 0AA,pete.wishart.mp@parliament.uk
Steve,Witherden,Steve Witherden,"Witherden, Steve",Labour,Montgomeryshire and Glyndŵr,House of Commons,London,SW1A 0AA,steve.witherden.mp@parliament.uk
Mike,Wood,Mike Wood,"Wood, Mike",Conservative,Kingswinford and South Staffordshire,House of Commons,London,SW1A 0AA,mike.wood.mp@parliament.uk
Sean,Woodcock,Sean Woodcock,"Woodcock, Sean",Labour,Banbury,House of Commons,London,SW1A 0AA,sean.woodcock.mp@parliament.uk
Jeremy,Wright,Sir Jeremy Wright,"Wright, Sir Jeremy",Conservative,Kenilworth and Southam,House of Commons,London,SW1A 0AA,Jeremy.wright.mp@parliament.uk
Rosie,Wrighting,Rosie Wrighting,"Wrighting, Rosie",Labour,Kettering,House of Commons,London,SW1A 0AA,rosie.wrighting.mp@parliament.uk
Martin,Wrigley,Martin Wrigley,"Wrigley, Martin",Liberal Democrat,Newton Abbot,House of Commons,London,SW1A 0AA,martin.wrigley.mp@parliament.uk
Yuan,Yang,Yuan Yang,"Yang, Yuan",Labour,Earley and Woodley,House of Commons,London,SW1A 0AA,yuan.yang.mp@parliament.uk
Mohammad,Yasin,Mohammad Yasin,"Yasin, Mohammad",Labour,Bedford,House of Commons,London,SW1A 0AA,mohammad.yasin.mp@parliament.uk
Steve,Yemm,Steve Yemm,"Yemm, Steve",Labour,Mansfield,House of Commons,London,SW1A 0AA,steve.yemm.mp@parliament.uk
Claire,Young,Claire Young,"Young, Claire",Liberal Democrat,Thornbury and Yate,House of Commons,London,SW1A 0AA,claire.young.mp@parliament.uk
Daniel,Zeichner,Daniel Zeichner,"Zeichner, Daniel",Labour,Cambridge,House of Commons,London,SW1A 0AA,daniel@danielzeichner.co.uk
